Disparos (a puerta),Entradas,totalPass,Duelos (ganados),Minutos jugados,Posición,Puntuación
Raúl Fernández,0,(0),2,32,15,(10),90',M,7.9
Ivi,0,(0),0,31,0,(0),90',G,7.8
Sergi Darder,2,(1),2,36,21,(10),90',M,7.6
Jefferson Lerma,2,(1),1,64,10,(7),90',M,7.5
Pedro Lopez,2,(0),2,41,10,(7),90',M,7.4
Aaron Caricol,1,(0),1,14,8,(3),90',D,7.4
Pau López,0,(0),0,42,8,(6),90',D,7.3
Antonio Luna,0,(0),0,18,1,(1),90',G,7.3
Chema,0,(0),1,42,6,(3),90',D,7.3
Gerard Moreno,0,(0),1,27,6,(3),90',D,7.2
Sergio Postigo,4,(3),0,26,18,(8),90',F,7.2
Mario Hermoso,0,(0),2,24,5,(4),80',D,7.1
David López,0,(0),1,57,3,(2),90',D,7.0
José Campaña,0,(0),2,74,7,(2),90',D,7.0
Marc Navarro,1,(1),1,52,10,(5),90',M,7.0
Enis Bardhi,2,(0),2,20,6,(3),58',D,6.9
Nano Mesa,1,(0),2,6,3,(2),10',M,6.9
Cheick Doukouré,1,(0),3,11,11,(6),67',F,6.8
Léo Baptistão,1,(0),3,9,9,(5),38',M,6.8
Esteban Granero,5,(0),2,25,16,(9),90',M,6.7
Sergio García,0,(0),0,10,5,(3),17',M,6.7
Róber Pier,1,(1),0,7,4,(1),33',F,6.6
Emmanuel Boateng,0,(0),1,13,6,(1),52',D,6.6
Sergio Sanchez,0,(0),0,5,5,(2),23',F,6.6
Javi Fuego,0,(0),1,13,4,(2),32',D,6.6
José Jurado,0,(0),2,35,15,(7),73',M,6.5
José Luis Morales,1,(1),0,20,4,(1),57',M,6.3
